"﻿date","value"
"2014.10.07",2.3961
"2014.11.07",2.5587
"2014.12.07",2.6211
"2015.01.07",2.6835
"2015.02.07",2.831933333333333
"2015.03.07",2.980366666666667
"2015.04.07",3.1288
"2015.05.07",3.026
"2015.06.07",3.10635
"2015.07.07",3.1867
"2015.08.07",3.5071
"2015.09.07",3.8387
"2015.10.07",3.8838
"2015.11.07",3.8259499999999997
"2015.12.07",3.7681
"2016.01.07",4.0448
"2016.02.07",3.9139
"2016.03.07",3.783
"2016.04.07",3.6905
"2016.05.07",3.5663
"2016.06.07",3.4421
"2016.07.07",3.3678
"2016.08.07",3.2804
"2016.09.07",3.193
"2016.10.07",3.2204
"2016.11.07",3.202
"2016.12.07",3.383
"2017.01.07",3.25175
"2017.02.07",3.1205
"2017.03.07",3.1195
"2017.04.07",3.1462
"2017.05.07",3.2078499999999996
"2017.06.07",3.2695
"2017.07.07",3.2813
"2017.08.07",3.1265
"2017.09.07",3.0993
"2017.10.07",3.1853499999999997
"2017.11.07",3.2714
"2017.12.07",3.2907
"2018.01.07",3.28105
"2018.02.07",3.2714
"2018.03.07",3.2454
"2018.04.07",3.3994
"2018.05.07",3.5534
"2018.06.07",3.9078
"2018.07.07",3.82965
"2018.08.07",3.7515
"2018.09.07",4.0597
"2018.10.07",3.89575
"2018.11.07",3.7318
"2018.12.07",3.9075
"2019.01.07",3.7356
"2019.02.07",3.7167
"2019.03.07",3.8704
"2019.04.07",3.9202000000000004
"2019.05.07",3.97
"2019.06.07",3.8774
"2019.07.07",3.9228
"2019.08.07",3.9682
"2019.09.07",4.0375
"2019.10.07",4.1068
"2019.11.07",4.1004
"2019.12.07",4.084
"2020.01.07",4.0676
"2020.02.07",4.3203
"2020.03.07",4.770849999999999
"2020.04.07",5.2214
"2020.05.07",5.8307
"2020.06.07",5.60485
"2020.07.07",5.379
"2020.08.07",5.4383
"2020.09.07",5.524
"2020.10.07",5.6097
"2020.11.07",5.35435
"2020.12.07",5.099
