"﻿date","value"
"2010.01.01",1.743
"2010.01.02",1.7357333333333334
"2010.01.03",1.7284666666666668
"2010.01.04",1.7212
"2010.01.05",1.731
"2010.01.06",1.7325
"2010.01.07",1.7465
"2010.01.08",1.7262
"2010.01.09",1.7294666666666667
"2010.01.10",1.7327333333333332
"2010.01.11",1.736
"2010.01.12",1.748
"2010.01.13",1.757
"2010.01.14",1.7585
"2010.01.15",1.7717
"2010.01.16",1.7678
"2010.01.17",1.7639
"2010.01.18",1.76
"2010.01.19",1.7708
"2010.01.20",1.7895
"2010.01.21",1.8035
"2010.01.22",1.8162
"2010.01.23",1.8178
"2010.01.24",1.8194
"2010.01.25",1.821
"2010.01.26",1.836
"2010.01.27",1.853
"2010.01.28",1.87
"2010.01.29",1.885
"2010.01.30",1.8758333333333332
"2010.01.31",1.8666666666666667
"2010.02.01",1.8575
"2010.02.02",1.8297
"2010.02.03",1.8505
"2010.02.04",1.8739
"2010.02.05",1.882
"2010.02.06",1.8800666666666666
"2010.02.07",1.8781333333333334
"2010.02.08",1.8762
"2010.02.09",1.8475
"2010.02.10",1.8565
"2010.02.11",1.8535
"2010.02.12",1.8509
"2010.02.13",1.8521
"2010.02.14",1.8533
"2010.02.15",1.8545
"2010.02.16",1.8379
"2010.02.17",1.8326
"2010.02.18",1.8275
"2010.02.19",1.8045
"2010.02.20",1.8068333333333333
"2010.02.21",1.8091666666666668
"2010.02.22",1.8115
"2010.02.23",1.8255
"2010.02.24",1.825
"2010.02.25",1.8235
"2010.02.26",1.8072
"2010.02.27",1.8033666666666666
"2010.02.28",1.7995333333333334
"2010.03.01",1.7957
"2010.03.02",1.7919
"2010.03.03",1.79
"2010.03.04",1.7885
"2010.03.05",1.7784
"2010.03.06",1.7813666666666668
"2010.03.07",1.7843333333333333
"2010.03.08",1.7873
"2010.03.09",1.7752
"2010.03.10",1.7685
"2010.03.11",1.7641
"2010.03.12",1.763
"2010.03.13",1.7631666666666665
"2010.03.14",1.7633333333333334
